"PilotRank","Priority","SOP","OwnerRole","PilotType","Trigger","RequiredProof","MikeNeeded","PilotStatus","AuditStatus","ReleaseStatus"
"20","P0","Client ID, folder, and hub shell","Systems Director","First real low-risk event","Onboarding opened","Client folder, slug, hub, magic-link path","No","Candidate identified - friend test client","Pending","Pending"
"21","P0","Magic-link client access","Systems Director","First real low-risk event","Client hub created","Client access without password account","No","Candidate identified - friend test client","Pending","Pending"
"22","P0","GBP access request","Account Manager","First real low-risk event","Client needs Google access setup","Client invite instructions","No","In progress - Southington Lawn Service LLC verbal access change reported","Pending","Pending"
"23","P0","GBP access verification","Profile Manager","First real low-risk event","Client says access sent or setup begins","Correct profile and role confirmed","No","In progress - Southington GBP access/fact proof captured; authenticated role verification still agent-owned","Pending","Pending"
"24","P0","GBP audit","Profile Manager","First real low-risk event","Access confirmed or public scan allowed","Profile gaps and recommended fixes","No","Pass - Southington GBP audit artifact ready for audit","Pending","Pending"
"25","P0","Google AI Search readiness audit","Profile Manager/Reporter","First real low-risk event","Client baseline or Get Found work starts","Crawlability, snippet eligibility, facts, content/proof, GBP, and Merchant Center notes","No","Pass - Southington AI Search readiness artifact ready for audit","Pending","Pending"
"26","P0","Get Found completion audit","Auditor","First real low-risk event","Work ready to mark done","Pass/fail and proof","No","Candidate identified - friend test client / GMF GBP internal setup","Pending","Pending"
"27","P0","Get Found delivery email","Account Manager","First real low-risk event","Auditor approves completion","Client-safe summary and next action","No","Candidate identified - friend test client","Pending","Pending"
"28","P0","Review request proof preview","Reviews Manager","First real low-risk event","Before any live send","Rendered email/link proof","No","Waiting for event","Pending","Pending"
"29","P0","Email review request send","Reviews Manager","First real low-risk event","Send approved and safe","Send log and failure list","No","Waiting for event","Pending","Pending"
"30","P0","Monthly Stay Found recap","Reporter","First real low-risk event","Month end","Recap draft","No","Candidate identified - friend test client","Pending","Pending"
"31","P0","Weekly safety audit","Systems Director/Auditor","Real event or controlled non-production test","Weekly cadence","Pass/watch/blocker report","No","Pass - deep readiness/security sweep proof ready for audit; 5 watch items remain","Pending","Pending"
"32","P0","SOP health dashboard","Manager/Coach","Real event or controlled non-production test","Weekly or on demand","SOP counts by status, priority, owner, stale review, and blocked P0","No","Waiting for event","Pending","Pending"
"1000","P0","Abandoned cart suppression and exit rules","Sales Manager","First real low-risk event","Prospect buys, opts out, replies, or becomes no-fit","Stop recovery and update status","No","Waiting for event","Pending","Pending"
"1000","P0","Agent training pack update","Coach","Real event or controlled non-production test","Role/process changes","Updated training pack","No","Waiting for event","Pending","Pending"
"1000","P0","AI visibility claim audit","Auditor","Real event or controlled non-production test","Report, sales copy, or client email mentions AI Search, AI Mode, or AI Overviews","No ranking guarantees, no unsupported hacks, proof-backed wording","No","Candidate identified - GMF GBP internal setup","Pending","Pending"
"1000","P0","Auditor proof gate","Auditor","Real event or controlled non-production test","Workflow ready to mark done","Pass/fail decision","No","Candidate identified - friend test client","Pending","Pending"
"1000","P0","Before/after visibility snapshot","Reporter","First real low-risk event","Get Found work complete","Proof snapshot","No","Candidate identified - friend test client / GMF GBP internal setup","Pending","Pending"
"1000","P0","Cancellation request","Account Manager","Real event or controlled non-production test","Client asks to cancel","Cancel path, final service state, Mike flags","No","Waiting for event","Pending","Pending"
"1000","P0","Client baseline visibility report","Reporter","First real low-risk event","Safe public scan available","Client baseline report","No","Pass - Southington baseline artifact ready for audit","Pending","Pending"
"1000","P0","Client call request","Account Manager","Real event or controlled non-production test","Client asks to talk","Call requested status and Manager route","No","Candidate identified - friend test client","Pending","Pending"
"1000","P0","Client complaint or reputation risk","Manager","Real event or controlled non-production test","Client is upset or risk appears","Escalation and response plan","No","Waiting for event","Pending","Pending"
"1000","P0","Client magic-link auth lifecycle","Systems Director","Real event or controlled non-production test","Client hub access changes","Link issue/revoke/refresh process","No","Waiting for event","Pending","Pending"
"1000","P0","Client question handling","Account Manager","Real event or controlled non-production test","Client emails a question","Answer, route, or blocker","No","Candidate identified - friend test client","Pending","Pending"
"1000","P0","Client report artifact generation","Reporter","Real event or controlled non-production test","Client baseline or monthly report needed","Client proof artifact","No","Waiting for event","Pending","Pending"
"1000","P0","Client-facing claim audit","Auditor","Real event or controlled non-production test","Report/email/site copy ready","Claim-safe approval","No","Candidate identified - friend test client / GMF GBP internal setup","Pending","Pending"
"1000","P0","Client-safe language review","Coach/Auditor","Real event or controlled non-production test","Public or client-facing copy changes","Approved wording","No","Waiting for event","Pending","Pending"
"1000","P0","Crawlability and index eligibility check","Systems Director/Profile Manager","First real low-risk event","Website visibility work begins","Indexable page, snippet, robots, sitemap, and Search Console notes","No","Candidate identified - friend test client / GMF GBP internal setup","Pending","Pending"
"1000","P0","Credential/access escalation","Systems Director/Manager","Real event or controlled non-production test","Login/access/billing issue","Mike-only request","Conditional","Waiting for event","Pending","Pending"
"1000","P0","Custom promise approval","Sales Manager","First real low-risk event","Prospect asks for nonstandard scope","Approved/declined custom promise","Conditional","Waiting for event","Pending","Pending"
"1000","P0","Customer list cleaning","Reviews Manager","First real low-risk event","Customer list received","Clean, held, suppressed counts","No","Waiting for event","Pending","Pending"
"1000","P0","Customer list request","Account Manager","First real low-risk event","Review path included","Customer upload ask","No","Candidate identified - friend test client","Pending","Pending"
"1000","P0","Environment variable management","Systems Director","Real event or controlled non-production test","New secret or deploy config","Secret stored and documented without exposure","No","Pass - credential rotation/env proof ready for audit","Pending","Pending"
"1000","P0","First review request path setup","Reviews Manager","First real low-risk event","Review link and customer path ready","Safe review request path","No","Candidate identified - friend test client","Pending","Pending"
"1000","P0","Fit call request handling","Sales Rep","First real low-risk event","Prospect asks for call","Call requested status and Manager/Mike route","No","Waiting for event","Pending","Pending"
"1000","P0","GBP category and service review","Profile Manager","First real low-risk event","GBP audit starts","Category/service update plan","No","Candidate identified - friend test client / GMF GBP internal setup","Pending","Pending"
"1000","P0","HighLevel AI feature safety check","Systems Director","Real event or controlled non-production test","GHL access, downgrade, or audit","AI toggles confirmed off","No","Waiting for event","Pending","Pending"
"1000","P0","Hours, phone, website, and description review","Profile Manager","First real low-risk event","GBP audit starts","Business fact sync notes","No","Candidate identified - friend test client / GMF GBP internal setup","Pending","Pending"
"1000","P0","Human-needed Slack alert","Manager","Real event or controlled non-production test","Human involvement required","Slack post only when needed","No","Waiting for event","Pending","Pending"
"1000","P0","Ideal customer profile and no-fit rules","Sales Manager","First real low-risk event","New prospect source, new niche, or campaign idea","Clear target and exclusion rules","No","Waiting for event","Pending","Pending"
"1000","P0","Incident response","Systems Director/Auditor","Real event or controlled non-production test","Outage, broken send, exposed data, billing risk","Incident log and recovery steps","Conditional","Waiting for event","Pending","Pending"
"1000","P0","Live send approval","Auditor/Manager","Real event or controlled non-production test","Email/SMS/campaign send requested","Send approved or blocked","No","Waiting for event","Pending","Pending"
"1000","P0","Manual client start","Manager","First real low-risk event","Mike approves manual start","Client record without normal checkout","Conditional","In progress - Southington Lawn Service LLC verbal consent reported; minimum intake pending","Pending","Pending"
"1000","P0","Monthly recap audit","Auditor","First real low-risk event","Recap ready","Claim/proof pass","No","Candidate identified - friend test client","Pending","Pending"
"1000","P0","Monthly recap send","Account Manager","First real low-risk event","Auditor approves recap","Client email and hub update","No","Candidate identified - friend test client","Pending","Pending"
"1000","P0","Negative review alert","Reviews Manager","Real event or controlled non-production test","1-4 star or risky review appears","Risk packet and recommended response","No","Waiting for event","Pending","Pending"
"1000","P0","Offer ladder source-of-truth update","Coach","Real event or controlled non-production test","Offer changes","Docs/site copy alignment","No","Waiting for event","Pending","Pending"
"1000","P0","Offer-lane selection for prospects","Sales Manager","First real low-risk event","Prospect enters pipeline","Get Found, Stay Found, Always Ready, nurture, or no-fit path","No","Waiting for event","Pending","Pending"
"1000","P0","Onboarding blocker follow-up","Account Manager","First real low-risk event","Client action missing","Reminder every two business days","No","Candidate identified - friend test client","Pending","Pending"
"1000","P0","Onboarding done criteria","Auditor","First real low-risk event","Launch work appears complete","Proof gate pass/fail","No","Candidate identified - friend test client","Pending","Pending"
"1000","P0","Pricing change approval","Sales Manager/Mike","Real event or controlled non-production test","Offer price changes","Approved price and site/docs update","Conditional","Waiting for event","Pending","Pending"
"1000","P0","Private feedback routing","Reviews Manager","First real low-risk event","Customer leaves low/private feedback","Feedback routed privately","No","Waiting for event","Pending","Pending"
"1000","P0","Process failure retrospective","Auditor/Manager","Real event or controlled non-production test","Incident, missed step, complaint, or failed handoff","Root cause and SOP/tool/training update","No","Waiting for event","Pending","Pending"
"1000","P0","Proof artifact storage","Reporter","Real event or controlled non-production test","Any workflow completes","Proof link/file","No","Candidate identified - friend test client","Pending","Pending"
"1000","P0","Prospect report artifact generation","Reporter","Real event or controlled non-production test","Prospect report requested","Prospect-safe artifact","No","Waiting for event","Pending","Pending"
"1000","P0","Public profile edit approval","Auditor/Manager","Real event or controlled non-production test","GBP/site/public change requested","Edit approved or held","No","Candidate identified - GMF GBP internal setup","Pending","Pending"
"1000","P0","Public review reply posting","Profile Manager/Reply Writer","Real event or controlled non-production test","Client approves reply","Posted reply proof","No","Waiting for event","Pending","Pending"
"1000","P0","Refund and dispute handling","Manager/Mike","Real event or controlled non-production test","Refund/dispute occurs","Decision, action, and proof","Conditional","Waiting for event","Pending","Pending"
"1000","P0","Refund or billing exception","Manager/Mike","Real event or controlled non-production test","Refund, charge issue, exception","Owner decision and Stripe action","Conditional","Waiting for event","Pending","Pending"
"1000","P0","Reputation risk escalation","Auditor/Manager","Real event or controlled non-production test","Bad review, complaint, legal/safety issue","Mike escalation packet","Conditional","Waiting for event","Pending","Pending"
"1000","P0","Resend domain and email health","Systems Director","Real event or controlled non-production test","Email send path used","Domain/auth/delivery proof","No","Pass - Resend domain/key health proof ready for audit","Pending","Pending"
"1000","P0","Review link capture and test","Profile Manager","First real low-risk event","Correct GBP confirmed","Tested Google review link","No","In progress - Southington review link captured and redirect-tested","Pending","Pending"
"1000","P0","Review reply approval","Account Manager","Real event or controlled non-production test","Draft ready","Approve/reject/post decision","No","Waiting for event","Pending","Pending"
"1000","P0","Review reply drafting","Reply Writer","Real event or controlled non-production test","New review needs response","Draft and risk flags","No","Waiting for event","Pending","Pending"
"1000","P0","Review request send candidates","Reviews Manager","First real low-risk event","Review send window approaches","Eligible send list","No","Waiting for event","Pending","Pending"
"1000","P0","Security sweep","Auditor","Real event or controlled non-production test","Weekly or before deploy","No exposed secret/risk report","No","Pass - security sweep proof ready for audit","Pending","Pending"
"1000","P0","SMS readiness and A2P gate","Systems Director","Real event or controlled non-production test","SMS requested or included","A2P/consent/STOP/HELP pass","No","Waiting for event","Pending","Pending"
"1000","P0","SMS review request send","Reviews Manager","Real event or controlled non-production test","SMS approved and compliant","Send log and suppression proof","No","Waiting for event","Pending","Pending"
"1000","P0","SOP adherence audit","Auditor","Real event or controlled non-production test","Weekly sample or monthly review","Current SOP compared to actual work and proof","No","Waiting for event","Pending","Pending"
"1000","P0","Stripe payment to client record","Systems Director","First real low-risk event","Checkout completes","Client record and onboarding task","No","Waiting for event","Pending","Pending"
"1000","P0","Stripe product and webhook management","Systems Director","Real event or controlled non-production test","Offer/checkout change","Product, price, webhook proof","No","Pass - Stripe key/webhook/product proof ready for audit","Pending","Pending"
"1000","P0","Supabase backup and recovery","Systems Director","Real event or controlled non-production test","Before client volume grows","Backup/PITR proof and recovery path","No","Waiting for event","Pending","Pending"
"1000","P0","Supabase schema migration","Systems Director","Real event or controlled non-production test","Database change","Migration applied and verified","No","Waiting for event","Pending","Pending"
"1000","P0","Vendor subscription change","Systems Director/Mike","Real event or controlled non-production test","Upgrade/downgrade/cancel tool","Spend decision and rollback risk","Conditional","Waiting for event","Pending","Pending"
"1000","P0","Vercel deploy and rollback","Systems Director","Real event or controlled non-production test","Production change","Deploy proof and rollback path","No","Waiting for event","Pending","Pending"
"1000","P0","Visibility report shared record model","Systems Director","Real event or controlled non-production test","Report created","Supabase report/event records","No","Waiting for event","Pending","Pending"
"1000","P0","Website/profile fact sync","Profile Manager","First real low-risk event","Site/profile mismatch found","Fact sync checklist","No","Pass - Southington fact-sync artifact ready for audit","Pending","Pending"
"1000","P0","Weekly customer/job upload","Account Manager","First real low-risk event","Stay Found client needs review requests","Upload/request reminder","No","Waiting for event","Pending","Pending"
"1000","P0","Welcome email","Account Manager","First real low-risk event","Client record ready","Welcome email and next ask","No","Candidate identified - friend test client","Pending","Pending"
"2000","P1","Abandoned cart email templates","Sales Manager/Coach","Recurring cycle or first real event","Recovery email due","Approved helper emails by offer","No","Waiting for event","Pending","Pending"
"2000","P1","Abandoned cart recovery cadence","Sales Rep","Recurring cycle or first real event","Checkout abandoned with usable contact info","1-hour/24-hour/72-hour recovery decision","No","Waiting for event","Pending","Pending"
"2000","P1","Abandoned checkout detection","Systems Director","Recurring cycle or first real event","Stripe checkout started but payment not completed","Recoverable checkout event or no-action reason","No","Waiting for event","Pending","Pending"
"2000","P1","Agentic checkout/payment risk review","Auditor/Systems Director","Recurring cycle or first real event","Any UCP/AP2/direct-checkout implementation is proposed","Payment, privacy, merchant-of-record, refund, and support risk decision","Conditional","Waiting for event","Pending","Pending"
"2000","P1","AI/local answer visibility check","Reporter","Recurring cycle or first real event","Always Ready cycle","Deeper visibility observations","No","Waiting for event","Pending","Pending"
"2000","P1","Always Ready onboarding","Manager","Recurring cycle or first real event","Client buys/upgrades","Expanded onboarding checklist","No","Waiting for event","Pending","Pending"
"2000","P1","At-risk client detection","Account Manager","Recurring cycle or first real event","Low activity, complaint, cancellation hint","At-risk status and retention action","No","Waiting for event","Pending","Pending"
"2000","P1","Campaign daily status and recovery","Manager","Recurring cycle or first real event","Scheduled campaign day","Sent/not sent status and blocker summary","No","Waiting for event","Pending","Pending"
"2000","P1","Client email template library","Account Manager/Coach","Recurring cycle or first real event","Repeated client emails","Approved templates","No","Waiting for event","Pending","Pending"
"2000","P1","Client hub status update","Account Manager","Recurring cycle or first real event","Setup status changes","Client-safe hub status","No","Waiting for event","Pending","Pending"
"2000","P1","Closed-lost and nurture classification","Sales Rep","Recurring cycle or first real event","Prospect declines, goes quiet, or no-fit","Status and next allowed touch","No","Waiting for event","Pending","Pending"
"2000","P1","Cold email campaign creation","Sales Manager","Recurring cycle or first real event","Approved outreach theme","Campaign draft, sequence, audience, and risk notes","No","Waiting for event","Pending","Pending"
"2000","P1","Content and GBP post planning","Profile Manager/Coach","Recurring cycle or first real event","Monthly content cycle","Post/content plan","No","Waiting for event","Pending","Pending"
"2000","P1","Daily/weekly revenue reconciliation","Manager","Recurring cycle or first real event","Sales or billing activity","Stripe/revenue status","Conditional","Waiting for event","Pending","Pending"
"2000","P1","Data retention and privacy","Systems Director","Recurring cycle or first real event","Client data stored","Retention/deletion rules","Conditional","Waiting for event","Pending","Pending"
"2000","P1","Declined partner email","Sales Rep","Recurring cycle or first real event","Partner declined","Kind decline email","No","Waiting for event","Pending","Pending"
"2000","P1","Follow-up review request send","Reviews Manager","Recurring cycle or first real event","Follow-up due","Suppression-safe follow-up log","No","Waiting for event","Pending","Pending"
"2000","P1","GHL $97 bridge smoke check","Systems Director","Recurring cycle or first real event","Post-downgrade or monthly","Bridge pass/watch/blocker report","No","Waiting for event","Pending","Pending"
"2000","P1","Google AI Search myth filter","Coach/Auditor","Recurring cycle or first real event","New AI SEO/AEO/GEO tactic is proposed","Approve, reject, or watch based on official guidance and client risk","No","Waiting for event","Pending","Pending"
"2000","P1","Google Search Central AI guidance monitoring","Scout/Coach","Recurring cycle or first real event","Google updates AI Search, AI Mode, AI Overviews, or Search Console guidance","Plain-English GMF impact note and SOP update recommendation","No","Waiting for event","Pending","Pending"
"2000","P1","Helpful proof content recommendation","Profile Manager/Coach","Recurring cycle or first real event","Generic or commodity site content found","Specific client proof, story, photo, video, or FAQ recommendation","No","Waiting for event","Pending","Pending"
"2000","P1","Inbound contact form triage","Sales Rep","Recurring cycle or first real event","Website contact form submitted","Sales/client/support route and reply draft","No","Waiting for event","Pending","Pending"
"2000","P1","Legal/privacy copy update","Coach","Recurring cycle or first real event","Offer/data flow changes","Updated terms/privacy copy request","Conditional","Waiting for event","Pending","Pending"
"2000","P1","LocalBusiness schema recommendation","Profile Manager","Recurring cycle or first real event","Website needs structured data","Schema plan or handoff","No","Waiting for event","Pending","Pending"
"2000","P1","Manager eval update loop","Coach","Recurring cycle or first real event","Manager behavior changes","Scenario and passing eval","No","Waiting for event","Pending","Pending"
"2000","P1","Mission Control owner summary","Manager","Recurring cycle or first real event","Daily or on demand","Owner-visible status","No","Waiting for event","Pending","Pending"
"2000","P1","Monday board update","Manager","Recurring cycle or first real event","Job opens, blocks, or completes","Monday status/current owner","No","Waiting for event","Pending","Pending"
"2000","P1","Monthly partner commission reconciliation","Sales Manager","Recurring cycle or first real event","Monthly payout cycle","Stripe/GA4 review and payout list","Conditional","Waiting for event","Pending","Pending"
"2000","P1","Monthly profile drift check","Profile Manager","Recurring cycle or first real event","Monthly recurrence","Drift report and fixes/blockers","No","Waiting for event","Pending","Pending"
"2000","P1","Monthly recurring revenue review","Manager","Recurring cycle or first real event","Month end","Active clients and MRR","Conditional","Waiting for event","Pending","Pending"
"2000","P1","Monthly strategy call prep","Account Manager","Recurring cycle or first real event","Strategy call due","Agenda and proof packet","No","Waiting for event","Pending","Pending"
"2000","P1","Objection and sales script library","Sales Manager/Coach","Recurring cycle or first real event","Repeated sales questions","Approved scripts","No","Waiting for event","Pending","Pending"
"2000","P1","Objection handling","Sales Manager","Recurring cycle or first real event","Prospect objects or hesitates","Approved response by objection type","No","Waiting for event","Pending","Pending"
"2000","P1","Old AOH/GHL language cleanup","Coach","Recurring cycle or first real event","Rebrand drift found","GMF-safe language","No","Waiting for event","Pending","Pending"
"2000","P1","Onboarding first-14-days status loop","Manager","Recurring cycle or first real event","New client in launch window","Daily/weekly status and blockers","No","Waiting for event","Pending","Pending"
"2000","P1","Orphaned report recovery","Sales Rep","Recurring cycle or first real event","Report sent, no signup","Recovery sequence and status","No","Waiting for event","Pending","Pending"
"2000","P1","Partner commission reconciliation","Sales Manager","Recurring cycle or first real event","Month end","Partner payout list","Conditional","Waiting for event","Pending","Pending"
"2000","P1","Partner conversion tracking","Systems Director","Recurring cycle or first real event","Partner traffic or sale exists","UTM/ref attribution","No","Waiting for event","Pending","Pending"
"2000","P1","Partner email template library","Sales Manager/Coach","Recurring cycle or first real event","Partner workflow changes","Approved partner templates","No","Waiting for event","Pending","Pending"
"2000","P1","Partner payout handling","Mike/Sales Manager","Recurring cycle or first real event","Commission approved","PayPal/bank payout proof","Conditional","Waiting for event","Pending","Pending"
"2000","P1","Photo and media check","Profile Manager","Recurring cycle or first real event","GBP audit starts","Photo/media recommendation","No","Candidate identified - friend test client / GMF GBP internal setup","Pending","Pending"
"2000","P1","Prospect enrichment and dedupe","Scout","Recurring cycle or first real event","New prospect batch","Cleaned prospect rows","No","Waiting for event","Pending","Pending"
"2000","P1","Prospect follow-up cadence","Sales Rep","Recurring cycle or first real event","Report sent","Day 2, Day 7, Day 14, nurture path","No","Waiting for event","Pending","Pending"
"2000","P1","Prospect source discovery","Scout","Recurring cycle or first real event","Need new prospect batch","Source list with business name, website, location, and fit notes","No","Waiting for event","Pending","Pending"
"2000","P1","Report download/archive","Reporter","Recurring cycle or first real event","Report is ready","Downloadable report and storage link","No","Waiting for event","Pending","Pending"
"2000","P1","Research ingestion from Scout","Coach","Recurring cycle or first real event","Search/Google/platform change found","Plain-English agent instruction","No","Waiting for event","Pending","Pending"
"2000","P1","Review monitoring","Profile Manager","Recurring cycle or first real event","Recurring service active","New review count and notes","No","Waiting for event","Pending","Pending"
"2000","P1","Review reply voice profile","Reply Writer","Recurring cycle or first real event","Reply service starts","Client voice profile","No","Waiting for event","Pending","Pending"
"2000","P1","Search Console and AI visibility signal review","Reporter","Recurring cycle or first real event","Monthly recap cycle","Query, page, click, impression, and AI/local observation notes","No","Waiting for event","Pending","Pending"
"2000","P1","Slack Manager command routing","Manager/Systems Director","Recurring cycle or first real event","Slack command or bot change","Command behavior and eval proof","No","Waiting for event","Pending","Pending"
"2000","P1","SOP execution proof dashboard","Auditor/Manager","Recurring cycle or first real event","Recurring SOP usage grows","Missing proof, failed handoffs, and audit findings by SOP","No","Waiting for event","Pending","Pending"
"2000","P1","Strategy call follow-up","Account Manager","Recurring cycle or first real event","Call completed","Summary, decisions, next actions","No","Waiting for event","Pending","Pending"
"2000","P1","Timed upgrade email cadence","Sales Manager","Recurring cycle or first real event","Client reaches planned lifecycle window","Day 14/30/45/60/75-90 send-or-hold decision","No","Waiting for event","Pending","Pending"
"2000","P1","Timed upgrade email send and log","Sales Rep","Recurring cycle or first real event","Sales Manager approves angle and Account Manager approves timing","Email sent, held, or call route logged","No","Waiting for event","Pending","Pending"
"2000","P1","Timed upgrade email template library","Sales Manager/Coach","Recurring cycle or first real event","Cadence slot or evidence trigger exists","Approved email by plan, proof signal, and tone","No","Waiting for event","Pending","Pending"
"2000","P1","Tool cost report","Systems Director","Recurring cycle or first real event","Month end","GHL, Smartlead, Resend, Supabase, Vercel, AI cost view","Conditional","Waiting for event","Pending","Pending"
"2000","P1","Upgrade email suppression and cooldown","Account Manager","Recurring cycle or first real event","Client is blocked, unhappy, new, or recently pitched","Hold/suppress decision","No","Waiting for event","Pending","Pending"
"2000","P1","Upgrade opportunity detection","Reporter","Recurring cycle or first real event","Data supports expansion","Evidence item","No","Waiting for event","Pending","Pending"
"2000","P1","Upgrade recommendation send","Sales Rep","Recurring cycle or first real event","Sales Manager approves angle","Upgrade email/call path","No","Waiting for event","Pending","Pending"
"2000","P1","Upgrade sale from existing client","Sales Manager","Recurring cycle or first real event","Evidence supports expansion","Upgrade angle and Sales Rep email","No","Waiting for event","Pending","Pending"
"2000","P1","Upgrade timing review","Account Manager","Recurring cycle or first real event","Evidence exists","Relationship timing decision","No","Waiting for event","Pending","Pending"
"2000","P1","Weekly GBP post","Profile Manager","Recurring cycle or first real event","Stay Found weekly cadence","Draft, approval if needed, post proof","No","Waiting for event","Pending","Pending"
"3000","P2","Agentic commerce readiness sales handoff","Sales Manager","Optimization/platform trigger or Mike-approved investigation","Prospect asks about Google UCP, AI shopping, direct checkout, or Merchant Center","Scope as research/advisory unless Mike approves implementation","Conditional","Waiting for event","Pending","Pending"
"3000","P2","Agentic commerce/UCP knowledge update","Coach","Optimization/platform trigger or Mike-approved investigation","Google UCP or related protocol changes","Updated sales-safe and client-safe guidance","Conditional","Waiting for event","Pending","Pending"
"3000","P2","Client renewal/recurring health review","Manager","Optimization/platform trigger or Mike-approved investigation","Monthly review cycle","Retention health summary","No","Waiting for event","Pending","Pending"
"3000","P2","FAQ/schema/location-page recommendation","Profile Manager","Optimization/platform trigger or Mike-approved investigation","AI/search gap found","Recommendation and handoff","No","Waiting for event","Pending","Pending"
"3000","P2","Included hosting update request","Systems Director","Optimization/platform trigger or Mike-approved investigation","Client requests minor site update","Accepted/declined/update path","No","Waiting for event","Pending","Pending"
"3000","P2","Merchant Center and UCP eligibility check","Systems Director","Optimization/platform trigger or Mike-approved investigation","Client sells eligible products, bookings, or delivery services","Eligibility/readiness checklist, not implementation promise","Conditional","Waiting for event","Pending","Pending"
"3000","P2","Model/tool usage cost tracking","Systems Director","Optimization/platform trigger or Mike-approved investigation","Client activity grows","Cost per client/service","No","Waiting for event","Pending","Pending"
"3000","P2","Monthly business review","Manager","Optimization/platform trigger or Mike-approved investigation","Month end","Clients, revenue, risk, upgrades, blockers","No","Waiting for event","Pending","Pending"
"3000","P2","Morning brief","Manager","Optimization/platform trigger or Mike-approved investigation","Daily scheduled brief","Owner summary","No","Waiting for event","Pending","Pending"
"3000","P2","Partner program promotion","Sales Manager","Optimization/platform trigger or Mike-approved investigation","Need partner applicants","Partner acquisition plan and approved copy","No","Waiting for event","Pending","Pending"
"3000","P2","Query fan-out topic coverage review","Reporter/Coach","Optimization/platform trigger or Mike-approved investigation","AI/local gap found","Human-useful topic gaps, not spam page list","No","Waiting for event","Pending","Pending"
"3000","P2","Social reach prospecting","Scout","Optimization/platform trigger or Mike-approved investigation","Useful social thread, post, or comment appears","Help-first action and trust signal log","No","Waiting for event","Pending","Pending"
"3000","P2","UCP/agentic commerce prospect fit check","Scout","Optimization/platform trigger or Mike-approved investigation","Prospect sells products, bookings, food delivery, hospitality, or ecommerce","Note whether agentic commerce readiness matters","Conditional","Waiting for event","Pending","Pending"
"3000","P2","Universal Commerce Protocol monitoring","Scout/Systems Director","Optimization/platform trigger or Mike-approved investigation","Google UCP, Merchant Center, AP2, or agentic checkout changes","Plain-English update and GMF impact note","No","Waiting for event","Pending","Pending"
